proxy_cp	hangul	hangul_cp
U+8C82	쥐	U+C950
U+8C9E	쥔	U+C954
U+8CA2	쥬	U+C96C
U+8CA8	즈	U+C988
U+8CAA	즉	U+C989
U+8CBF	즌	U+C98C
U+8CC0	즐	U+C990
U+8CC2	즘	U+C998
U+8CC3	증	U+C99D
U+8CC4	지	U+C9C0
U+8CD3	직	U+C9C1
U+8CE0	진	U+C9C4
U+8CE6	질	U+C9C8
U+8D08	짊	U+C9CA
U+8D0B	짐	U+C9D0
U+8D6B	집	U+C9D1
U+8DA8	짓	U+C9D3
U+8E5F	징	U+C9D5
U+8EAF	짖	U+C9D6
U+8F2F	짙	U+C9D9
U+8F3F	짚	U+C9DA
U+8F4D	짜	U+C9DC
U+8F61	짝	U+C9DD
U+8FB0	짧	U+C9E7
U+8FB2	짱	U+C9F1
U+8FC4	째	U+C9F8
U+8FE6	쨌	U+CA0C
U+8FE9	쩌	U+CA4C
U+9013	쩍	U+CA4D
U+9019	쩐	U+CA50
U+901E	쩔	U+CA54
U+9022	쩡	U+CA61
U+904D	쪽	U+CABD
U+907C	쫓	U+CAD3
U+907D	쭐	U+CB50
U+9091	쯤	U+CBE4
U+90A3	찌	U+CC0C
U+90C1	찍	U+CC0D
U+90ED	찔	U+CC14
U+90F5	차	U+CC28
U+912D	착	U+CC29
U+9149	찬	U+CC2C
U+914B	찮	U+CC2E
U+914C	찰	U+CC30
U+914E	참	U+CC38
U+9162	찹	U+CC39
U+916A	찼	U+CC3C
U+916C	창	U+CC3D
U+9175	찾	U+CC3E
U+9178	채	U+CC44
U+9187	책	U+CC45
U+918D	챈	U+CC48
U+9190	챌	U+CC4C
U+9197	챔	U+CC54
U+91A4	챘	U+CC58
U+91C6	챙	U+CC59
U+91D8	처	U+CC98
U+91DC	척	U+CC99
U+91E6	천	U+CC9C
U+91E7	철	U+CCA0
U+920E	첨	U+CCA8
U+9237	첩	U+CCA9
U+925B	첫	U+CCAB
U+9266	청	U+CCAD
U+927E	체	U+CCB4
U+9291	첸	U+CCB8
U+92AD	첼	U+CCBC
U+92CF	쳇	U+CCC7
U+92E4	쳐	U+CCD0
U+92EA	쳤	U+CCE4
U+92F2	초	U+CD08
U+92F3	촉	U+CD09
U+92F8	촌	U+CD0C
U+9306	총	U+CD1D
U+9318	최	U+CD5C
U+9326	추	U+CD94
U+932B	축	U+CD95
U+934B	춘	U+CD98
U+934D	출	U+CD9C
U+9354	춤	U+CDA4
U+935B	춥	U+CDA5
U+936C	충	U+CDA9
U+937E	춰	U+CDB0
U+9397	췄	U+CDC4
U+939A	취	U+CDE8
U+93E1	츠	U+CE20
U+9419	측	U+CE21
U+9438	층	U+CE35
U+9453	치	U+CE58
U+947D	칙	U+CE59
U+958F	친	U+CE5C
U+9591	칠	U+CE60
U+95A4	침	U+CE68
U+961C	칩	U+CE69
U+9644	칫	U+CE6B
U+966A	칭	U+CE6D
U+9673	카	U+CE74
U+9675	칸	U+CE78
U+9685	칼	U+CE7C
U+9688	캄	U+CE84
U+96EB	캇	U+CE87
U+971E	캐	U+CE90
U+9727	캔	U+CE94
U+9739	캘	U+CE98
U+9742	캡	U+CEA1
U+9756	커	U+CEE4
U+976D	컥	U+CEE5
U+9774	컨	U+CEE8
U+9784	컫	U+CEEB
U+978D	컬	U+CEEC
U+9798	컴	U+CEF4
U+97A0	컵	U+CEF5
U+97D3	컷	U+CEF7
U+97EE	컸	U+CEF8
U+97FB	케	U+CF00
U+9812	켄	U+CF04
U+9813	켈	U+CF08
U+9817	켓	U+CF13
U+981A	켜	U+CF1C
U+982C	켰	U+CF30
U+9834	코	U+CF54
U+984E	콕	U+CF55
U+98C4	콘	U+CF58
U+98F4	콜	U+CF5C
U+98FC	콤	U+CF64
U+98FE	콥	U+CF65
U+9903	콩	U+CF69
U+9905	쾌	U+CF8C
U+9913	쿄	U+CFC4
U+9945	쿠	U+CFE0
U+9957	쿤	U+CFE4
U+99A8	쿨	U+CFE8
U+99C1	쿵	U+CFF5
U+99FF	쿼	U+CFFC
U+9A30	퀀	U+D000
U+9A55	퀘	U+D018
U+9AED	퀴	U+D034
U+9B4D	퀵	U+D035
U+9B4E	퀸	U+D038
U+9B51	퀼	U+D03C
U+9B6F	큐	U+D050
U+9B92	큘	U+D058
U+9BAA	크	U+D06C
U+9BAD	큭	U+D06D
U+9BC9	큰	U+D070
U+9BD6	클	U+D074
U+9BDB	큼	U+D07C
U+9BE8	큽	U+D07D
U+9BF5	키	U+D0A4
U+9C0D	킥	U+D0A5
U+9C10	킨	U+D0A8
U+9C2D	킬	U+D0AC
U+9C2F	킵	U+D0B5
U+9C39	킷	U+D0B7
U+9C3B	킹	U+D0B9
U+9C48	타	U+D0C0
U+9C52	탁	U+D0C1
U+9CE9	탄	U+D0C4
U+9CF6	탈	U+D0C8
U+9D07	탐	U+D0D0
U+9D0E	탑	U+D0D1
U+9D1B	탓	U+D0D3
U+9D28	탔	U+D0D4
U+9D2B	탕	U+D0D5
U+9D2C	태	U+D0DC
U+9D3B	택	U+D0DD
U+9D60	탠	U+D0E0
U+9D61	탱	U+D0F1
U+9D6C	터	U+D130
U+9D7A	턱	U+D131
U+9DB4	턴	U+D134
U+9DF9	털	U+D138
U+9DFA	텀	U+D140
U+9E78	텁	U+D141
U+9E93	텃	U+D143
U+9EA6	테	U+D14C
U+9EB9	텍	U+D14D
U+9EBB	텐	U+D150
U+9EBF	텔	U+D154
U+9ECD	템	U+D15C
U+9EDB	텟	U+D15F
U+9F0E	텨	U+D168
U+9F3B	텼	U+D17C
U+A000	토	U+D1A0
U+A001	톤	U+D1A4
U+A002	톨	U+D1A8
U+A003	톰	U+D1B0
U+A005	톱	U+D1B1
U+A006	통	U+D1B5
U+A007	퇴	U+D1F4
U+A008	투	U+D22C
U+A009	툰	U+D230
U+A00A	툴	U+D234
U+A00B	툼	U+D23C
U+A00C	퉁	U+D241
U+A00D	튀	U+D280
U+A00E	튕	U+D295
U+A00F	튜	U+D29C
U+A010	트	U+D2B8
U+A011	특	U+D2B9
U+A012	튼	U+D2BC
U+A013	틀	U+D2C0
U+A014	틈	U+D2C8
U+A015	티	U+D2F0
U+A041	틱	U+D2F1
U+A042	틴	U+D2F4
U+A043	틸	U+D2F8
U+A044	팀	U+D300
U+A045	팁	U+D301
U+A046	팅	U+D305
U+A047	파	U+D30C
U+A048	팎	U+D30E
U+A049	판	U+D310
U+A04A	팔	U+D314
U+A04B	팜	U+D31C
U+A04C	패	U+D328
U+A04D	팩	U+D329
U+A04E	팬	U+D32C
U+A04F	팻	U+D33B
U+A050	팽	U+D33D
U+A051	퍼	U+D37C
U+A052	펀	U+D380
U+A053	펄	U+D384
U+A054	펌	U+D38C
U+A055	펑	U+D391
U+A056	페	U+D398
U+A057	펙	U+D399
U+A058	펜	U+D39C
U+A059	펠	U+D3A0
U+A05A	펴	U+D3B4
U+A05B	편	U+D3B8
U+A05C	펼	U+D3BC
U+A05D	평	U+D3C9
U+A05E	폐	U+D3D0
U+A05F	포	U+D3EC
U+A060	폭	U+D3ED
U+A061	폰	U+D3F0
U+A062	폴	U+D3F4
U+A063	폼	U+D3FC
U+A064	표	U+D45C
U+A065	푸	U+D478
U+A066	푹	U+D479
U+A067	푼	U+D47C
U+A068	풀	U+D480
U+A069	품	U+D488
U+A06A	풋	U+D48B
U+A06B	풍	U+D48D
U+A06C	퓨	U+D4E8
U+A06D	퓰	U+D4F0
U+A06E	프	U+D504
U+A06F	픈	U+D508
U+A070	플	U+D50C
U+A071	픔	U+D514
U+A072	피	U+D53C
U+A073	픽	U+D53D
U+A074	핀	U+D540
U+A075	필	U+D544
U+A076	핏	U+D54F
U+A077	핑	U+D551
U+A078	하	U+D558
U+A079	학	U+D559
U+A07A	한	U+D55C
U+A07B	할	U+D560
U+A07C	함	U+D568
U+A07D	합	U+D569
U+A07E	핫	U+D56B
U+A07F	항	U+D56D
U+A080	해	U+D574
U+A081	핵	U+D575
U+A082	핸	U+D578
U+A083	핼	U+D57C
U+A084	햇	U+D587
U+A085	했	U+D588
U+A086	행	U+D589
U+A087	햐	U+D590
U+A088	향	U+D5A5
U+A089	허	U+D5C8
U+A08A	헉	U+D5C9
U+A08B	헌	U+D5CC
U+A08C	헐	U+D5D0
U+A08D	험	U+D5D8
U+A08E	헛	U+D5DB
U+A08F	헤	U+D5E4
U+A090	헬	U+D5EC
U+A091	헷	U+D5F7
U+A092	혀	U+D600
U+A093	혁	U+D601
U+A09B	현	U+D604
U+A09C	혈	U+D608
U+A09D	혐	U+D610
U+A09E	협	U+D611
U+A0A1	혔	U+D614
U+A0A2	형	U+D615
U+A0A3	혜	U+D61C
U+A0A4	호	U+D638
U+A0A5	혹	U+D639
U+A0A6	혼	U+D63C
U+A0A7	홀	U+D640
U+A0A8	홈	U+D648
U+A0A9	홋	U+D64B
U+A0AA	홍	U+D64D
U+A0AB	화	U+D654
U+A0AC	확	U+D655
U+A0AD	환	U+D658
U+A0AE	활	U+D65C
U+A0AF	황	U+D669
U+A0B0	회	U+D68C
U+A0B1	획	U+D68D
U+A0B2	횟	U+D69F
U+A0B3	횡	U+D6A1
U+A0B4	효	U+D6A8
U+A0B5	후	U+D6C4
U+A0B6	훈	U+D6C8
U+A0B7	훌	U+D6CC
U+A0B8	훑	U+D6D1
U+A0B9	훔	U+D6D4
U+A0BA	훗	U+D6D7
U+A0BB	훤	U+D6E4
U+A0BC	훨	U+D6E8
U+A0BD	휘	U+D718
U+A0BE	휠	U+D720
U+A0BF	휩	U+D729
U+A0C0	휴	U+D734
U+A0C1	흉	U+D749
U+A0C2	흐	U+D750
U+A0C3	흑	U+D751
U+A0C4	흔	U+D754
U+A0C5	흘	U+D758
U+A0C6	흙	U+D759
U+A0C7	흠	U+D760
U+A0C8	흡	U+D761
U+A0C9	흣	U+D763
U+A0CA	흥	U+D765
U+A0CB	흩	U+D769
U+A0CC	희	U+D76C
U+A0CD	흰	U+D770
U+A0CE	히	U+D788
U+A0CF	힌	U+D78C
U+A0D0	힐	U+D790
U+A0D1	힘	U+D798
U+A0E4	토	U+D1A0
U+A0E5	톤	U+D1A4
U+A0E6	톨	U+D1A8
U+A0E7	톰	U+D1B0
U+A0E8	톱	U+D1B1
U+A0E9	통	U+D1B5
U+A0EA	퇴	U+D1F4
U+A0EB	투	U+D22C
U+A0EC	툰	U+D230
U+A0ED	툴	U+D234
U+A0EE	툼	U+D23C
U+A0EF	퉁	U+D241
U+A0F0	튀	U+D280
U+A0F1	튕	U+D295
U+A0F2	튜	U+D29C
U+A0F3	트	U+D2B8
U+A0F4	특	U+D2B9
U+A0F5	튼	U+D2BC
U+A0F6	틀	U+D2C0
U+A0F7	틈	U+D2C8
U+A0F8	티	U+D2F0
