proxy_cp	hangul	hangul_cp
U+58FA	냥	U+B0E5
U+5919	너	U+B108
U+5937	넌	U+B10C
U+5944	널	U+B110
U+5949	넓	U+B113
U+5968	넘	U+B118
U+5983	넣	U+B123
U+598A	네	U+B124
U+5993	넥	U+B125
U+59BE	넬	U+B12C
U+59D0	넵	U+B135
U+59D1	넷	U+B137
U+59E5	녀	U+B140
U+59E6	녁	U+B141
U+59EA	년	U+B144
U+59F6	념	U+B150
U+59FB	녔	U+B154
U+5A03	녕	U+B155
U+5A20	노	U+B178
U+5A29	녹	U+B179
U+5A2F	논	U+B17C
U+5A3C	놀	U+B180
U+5A41	놈	U+B188
U+5A7F	놋	U+B18B
U+5AC1	농	U+B18D
U+5B2C	높	U+B192
U+5B5C	놓	U+B193
U+5B5D	놔	U+B194
U+5B63	놨	U+B1A8
U+5B8B	뇌	U+B1CC
U+5B8D	뇨	U+B1E8
U+5B95	누	U+B204
U+5B9B	눈	U+B208
U+5BA5	눌	U+B20C
U+5BB4	눕	U+B215
U+5BB5	눙	U+B219
U+5BC5	눠	U+B220
U+5BD2	눴	U+B234
U+5BD3	뉘	U+B258
U+5BEE	뉜	U+B25C
U+5BF8	뉴	U+B274
U+5C2D	늄	U+B284
U+5C3A	느	U+B290
U+5C3C	늑	U+B291
U+5C3F	는	U+B294
U+5C61	늘	U+B298
U+5C6F	늠	U+B2A0
U+5CA8	능	U+B2A5
U+5CB1	늦	U+B2A6
U+5CB3	늬	U+B2AC
U+5CE0	니	U+B2C8
U+5CE1	닉	U+B2C9
U+5CE8	닌	U+B2CC
U+5CEF	닐	U+B2D0
U+5CF0	님	U+B2D8
U+5CFB	닙	U+B2D9
U+5D16	닛	U+B2DB
U+5D50	닝	U+B2DD
U+5D69	다	U+B2E4
U+5D6F	닥	U+B2E5
U+5D8B	단	U+B2E8
U+5DBA	닫	U+B2EB
U+5DCC	달	U+B2EC
U+5DF3	닭	U+B2ED
U+5DF7	닮	U+B2EE
U+5DFD	담	U+B2F4
U+5DFE	답	U+B2F5
U+5E06	닷	U+B2F7
U+5E16	당	U+B2F9
U+5E3D	닿	U+B2FF
U+5E61	대	U+B300
U+5E63	댄	U+B304
U+5E81	댈	U+B308
U+5E84	댐	U+B310
U+5E8A	댑	U+B311
U+5E96	댓	U+B313
U+5E9A	댔	U+B314
U+5EB5	더	U+B354
U+5EB6	덕	U+B355
U+5EB8	던	U+B358
U+5EC9	덜	U+B35C
U+5ECA	덤	U+B364
U+5ED3	덧	U+B367
U+5EDF	덩	U+B369
U+5EE0	덮	U+B36E
U+5EF7	데	U+B370
U+5EFC	덱	U+B371
U+5EFF	덴	U+B374
U+5F14	델	U+B378
U+5F17	뎌	U+B38C
U+5F18	뎠	U+B3A0
U+5F25	도	U+B3C4
U+5F26	독	U+B3C5
U+5F27	돈	U+B3C8
U+5F29	돋	U+B3CB
U+5F3C	돌	U+B3CC
U+5F48	돔	U+B3D4
U+5F4A	돕	U+B3D5
U+5F57	돗	U+B3D7
U+5F6A	동	U+B3D9
U+5F6B	돼	U+B3FC
U+5F6C	됐	U+B410
U+5F70	되	U+B418
U+5FBD	된	U+B41C
U+5FFD	될	U+B420
U+6055	됨	U+B428
U+6062	됩	U+B429
U+6070	두	U+B450
U+6089	둑	U+B451
U+608C	둔	U+B454
U+60A6	둘	U+B458
U+60BC	둠	U+B460
U+60C7	둡	U+B461
U+60DF	둥	U+B465
U+60E3	둬	U+B46C
U+60F0	뒀	U+B480
U+6101	뒈	U+B488
U+6108	뒤	U+B4A4
U+6167	뒷	U+B4B7
U+6168	듀	U+B4C0
U+6170	듈	U+B4C8
U+6176	드	U+B4DC
U+617E	득	U+B4DD
U+6190	든	U+B4E0
U+61C7	듣	U+B4E3
U+620A	들	U+B4E4
U+620E	듬	U+B4EC
U+621F	듭	U+B4ED
U+626E	듯	U+B4EF
U+6276	등	U+B4F1
U+6279	디	U+B514
U+6284	딘	U+B518
U+6289	딜	U+B51C
U+62D0	딤	U+B524
U+62F5	딩	U+B529
U+62F7	딪	U+B52A
U+6309	따	U+B530
U+6372	딱	U+B531
U+637A	딴	U+B534
U+63A0	딸	U+B538
U+63A3	땅	U+B545
U+63B2	때	U+B54C
U+63D6	땐	U+B550
U+6426	땠	U+B560
U+6469	땡	U+B561
U+6478	떠	U+B5A0
U+647A	떤	U+B5A4
U+6492	떨	U+B5A8
U+649A	떴	U+B5B4
U+649E	떻	U+B5BB
U+64AB	떼	U+B5BC
U+64AD	뗄	U+B5C4
U+64B0	또	U+B610
U+64C5	똑	U+B611
U+64E6	똘	U+B618
U+658C	똥	U+B625
U+658E	똬	U+B62C
U+6591	뚜	U+B69C
U+6597	뚝	U+B69D
U+659C	뚫	U+B6AB
U+65A7	뚱	U+B6B1
U+65E6	뛰	U+B6F0
U+65EC	뛴	U+B6F4
U+65ED	뜨	U+B728
U+6643	뜩	U+B729
U+664B	뜬	U+B72C
U+6691	뜯	U+B72F
U+66A2	뜰	U+B730
U+66C7	뜸	U+B738
U+66D9	뜻	U+B73B
U+66DD	띄	U+B744
U+66F3	띔	U+B754
U+66FD	띠	U+B760
U+670B	라	U+B77C
U+6714	락	U+B77D
